id,total_validators,p_active_slots,p_created_blocks,non_empty_block,empty_block,vanilla_blocks,a_active_epochs,a_attested_epochs,a_attested_source,a_attested_target,a_attested_head,inc_distance,sync_rate,block_reward,validation_reward,total_reward,proposal_effectiveness,correctness,attestation_rate,att_effectiveness,effectiveness,partition_date
RockX,8916,82,82,82,0,1,2006100,2006082,2005435,2005540.0,1985197,1.0131598689795471,99.318919345431,7.397208381026706,24.648258744002376,32.045467125030875,1.0,0.9963232141967001,0.9999910273665321,0.9833732119267313,0.9896082574542071,2024-01-18
Sigma Prime,10001,71,71,71,0,51,2250225,2250019,2249206,2247933.0,2209777,1.0158233206220002,98.70188057093127,3.1928878629315496,26.319183320003496,29.51207118293064,1.0,0.993517833401845,0.9999084535990845,0.9779524256360497,0.986220266022531,2024-01-18
Prysm Team at Offchain Labs,10001,68,68,68,0,2,2250225,2250127,2249422,2249006.0,2224499,1.0135013405349953,99.50017916088889,5.140121816235521,26.256809820003316,31.396931636236896,1.0,0.9958895962255626,0.9999564487995645,0.9825800758314439,0.9891125473946525,2024-01-18
ChainLayer,8916,66,66,66,0,0,2006100,2005537,2004529,2003909.0,1967631,1.0199323856153433,97.75935615226939,8.75632820203862,23.730998707002527,32.48732690904343,1.0,0.9929829021484472,0.9997193559643088,0.9733039576152882,0.9833149735095551,2024-01-18
BridgeTower,8939,71,71,71,0,2,2011275,2010149,2008154,2006377.0,1958458,1.031422437324672,93.20779872336614,7.318958363864237,23.744964958002495,31.063923321868888,1.0,0.9899175067225184,0.9994401561198742,0.9592222077607546,0.9745138798504717,2024-01-18
Nethermind,10001,73,73,73,0,0,2250225,2250160,2249493,2249567.0,2226425,1.0135804257709449,99.53307883755274,12.367661166609082,26.347943226003522,38.71560439261707,1.0,0.9962685212960185,0.9999711139997112,0.9828916559092677,0.9893072849432923,2024-01-18
Numic,5751,42,42,42,0,0,1292572,1292374,1291847,1291150.0,1269547,1.0176083988039282,98.05495112033198,3.75122274762281,14.877928055999918,18.629150803622714,1.0,0.9935085498783305,0.9998468170438475,0.9761676126781814,0.9851047579238634,2024-01-18
Consensys,8875,63,63,63,0,0,1996875,1988984,1989276,1988657.0,1962903,1.0150252397094048,97.02031656266429,5.416266574326946,23.29652317200329,28.712789746326756,1.0,0.9916888471570162,0.9960483255086072,0.9731482302046985,0.9832176438779365,2024-01-18
HashQuark,10001,85,85,84,0,5,2250225,2250080,2249250,2248339.0,2216224,1.0148989677911922,99.2564184289327,5.862096886419998,27.459969448003182,33.32206633442717,0.9882352941176471,0.9945395090120618,0.9999355619993556,0.9798762777726512,0.9830109089020247,2024-01-18
stakefish,8490,66,66,66,0,3,1910250,1909554,1908950,1909017.0,1878579,1.0189359198254462,99.04104063090128,6.901294146581843,22.242771663001896,29.144065809585076,1.0,0.9940314967499891,0.9996356497840597,0.9752029561679622,0.9845018476049764,2024-01-18
P2P.ORG - P2P Validator,8878,84,82,82,0,0,1997550,1997307,1996810,1996660.0,1975540,1.0146575140848109,97.82474364381514,7.1694928486629905,24.394594132002126,31.564086980666943,0.9761904761904762,0.9960551675802859,0.9998783509799505,0.9815469600533492,0.9795382786047717,2024-01-18
network,900355,7199,7152,7133,0,632,202271817,201695722,201689656,201655466.0,198282683,1.0203099990693807,97.52253565489144,1031.648998128432,2394.5184432849,3426.167441403651,0.9908320600083345,0.9914510317898942,0.9971518770704473,0.968947925899429,0.9771544761902685,2024-01-18
Staking Facilities,8400,74,74,74,0,0,1890000,1889732,1889364,1888670.0,1866609,1.0136746465861801,99.11486191266374,5.888200325324289,22.689406000002048,28.577606325327704,1.0,0.9955278659611992,0.9998582010582011,0.9819587621289583,0.9887242263305989,2024-01-18
Blockdaemon,10001,85,84,83,0,0,2250225,2246926,2246789,2246274.0,2213916,1.0164364621836366,98.49722206755557,7.84226977288739,26.805792096002723,34.64806186889349,0.9764705882352941,0.9935271658019383,0.9985339243853393,0.97602813039623,0.976194052085879,2024-01-18
Everstake,8940,62,62,62,0,9,2011500,2011394,2010697,2010363.0,1984656,1.0145155573187534,99.01950522618277,283.1439896670294,23.804295945002444,306.94828561206776,1.0,0.995230093628304,0.9999473030077057,0.9809387749813001,0.9880867343633126,2024-01-18
Staking Facilities,8400,71,71,71,0,0,1890000,1889877,1889412,1888223.0,1869723,1.0108545203270265,98.85537618666662,5.156926360944231,22.871621024000113,28.028547384938893,1.0,0.9960067019400353,0.9999349206349206,0.9852474935107934,0.9907796834442459,2024-01-19
CryptoManufaktur,10001,74,74,74,0,0,2250225,2249891,2249463,2249128.0,2228287,1.0111167105735621,99.35706548345682,12.036176923807194,27.00632679999956,39.042503723806774,1.0,0.9964748710314154,0.9998515703985157,0.9853728597742654,0.9908580373589159,2024-01-19
Allnodes,8916,79,79,79,0,79,2006100,2005926,2005294,2005166.0,1990430,1.0123977055944964,99.62927111644447,1.089071695037584,24.183073017000105,25.27214471203769,1.0,0.99710715650599,0.9999132645431434,0.9848112717479628,0.9905070448424768,2024-01-19
Chorus One,8853,71,71,71,0,0,1991925,1990745,1989968,1989904.0,1956736,1.0210714552869162,98.24547175822227,7.6121896333405505,23.653656795000114,31.265846428336104,1.0,0.9934457036953366,0.9994076082181809,0.9723679860835946,0.9827299913022467,2024-01-19
ChainLayer,8916,67,67,67,0,0,2006100,2005386,2004484,2003560.0,1969542,1.0187824764016453,99.07427923777779,5.120973571085146,24.065050530000132,29.18602410108522,1.0,0.9932349666849443,0.9996440855391058,0.9745764998865187,0.9841103124290742,2024-01-19
Simply Staking,9428,65,65,64,0,0,2121300,2118735,2118213,2116410.0,2054393,1.0286524495025091,97.69650147666668,7.461526258903002,24.96054100200009,32.42206726089896,0.9846153846153847,0.9882330017756408,0.9987908358082308,0.9595447580901926,0.9689462430371396,2024-01-19
Blockdaemon,10001,92,92,92,0,1,2250225,2249398,2249087,2247932.0,2218168,1.0137841387079782,98.73962948444441,6.449282048639177,27.15640144600012,33.60568349463666,1.0,0.9947430442140971,0.9996324811963249,0.9808571859368527,0.988035741210533,2024-01-19
Figment,8928,64,64,63,0,0,2008800,2007162,2007983,2006998.0,1986104,1.0124001995262737,98.94947215999998,5.276324030627444,24.14859375100007,29.42491778162752,0.984375,0.995799316341431,0.9991845878136201,0.9828004082864422,0.9833908801790264,2024-01-19
Stakin,9993,70,70,70,0,42,2248425,2247487,2246500,2245329.0,2197481,1.019039787012702,98.43023278577776,12.402918792465613,26.099845749999822,38.502764542463154,1.0,0.9917030810456208,0.9995828190844702,0.9727680646820324,0.9829800404262702,2024-01-19
stakefish,8490,62,61,60,0,6,1910250,1909206,1908841,1908196.0,1881685,1.0172430220152417,93.53048820222227,4.000971260957648,22.187163043000147,26.188134303957767,0.967741935483871,0.9944112027221568,0.9994534746760895,0.9770209382695547,0.9735413122249233,2024-01-19
SenseiNode,7000,57,54,53,0,0,1575000,1574244,1573603,1572833.0,1539705,1.0196765527746212,98.39546577244444,3.8540821021917315,18.722177775999786,22.576259878191426,0.9298245614035088,0.991775873015873,0.99952,0.9721708495693261,0.9562909915071446,2024-01-19
P2P.ORG - P2P Validator,8878,62,62,62,0,0,1997550,1997279,1996717,1996209.0,1978223,1.0121694745384189,97.72913358044441,9.311761482909283,23.379180502000153,32.69094198490511,1.0,0.9964121048284148,0.9998643338089159,0.9842985295004438,0.9901865809377774,2024-01-19
A41,5859,51,50,49,0,0,1301599,1301358,1301043,1300354.0,1285084,1.0126468687840298,98.8155115881482,6.581796598377454,15.598577068999523,22.18037366737751,0.9607843137254902,0.9953093592317347,0.9998148431275685,0.9826970304649318,0.9744797616876413,2024-01-19
Gateway.fm AS,500,4,4,4,0,1,112500,112095,112151,112093.0,106158,1.0555812382205467,,0.23477695334151127,1.2731732160000089,1.5079501693415205,1.0,0.9789688888888889,0.9964,0.9240829275568134,0.9525518297230084,2024-01-19
network,902577,7199,7162,7143,0,612,202738396,202143445,202159237,202091609.0,198887183,1.018739340717532,97.16645218204076,770.4363532622348,2395.0426962284696,3165.4790495589214,0.9922211418252536,0.991652363998513,0.9970654251402877,0.9705547301286555,0.9786796345148797,2024-01-19
Kukis Global,10001,83,83,83,0,1,2250225,2250166,2249593,2248856.0,2229909,1.0103660791103461,99.47326749888889,4.989648266310812,27.26155725899957,32.25120552531034,1.0,0.9966941083669411,0.9999737803997378,0.9864424351255223,0.9915265219534515,2024-01-19
